Index,0 [0x0][0x0],1 [0x19][0x30],2 [0x5][0x8],3 [0x3][0x1c],4 [0x5][0xa],5 [0x3][0x1d],6 [0x4][0x1a],7 [0x5][0xc],8 [0x3][0x1e],9 [0x2][0x2c],10 [0x3][0x1f],11 [0x2][0x2d],12 [0x1a][0x30],13 [0x1b][0x30],14 [0x1c][0x30],15 [0x1d][0x30],16 [0x1e][0x30],17 [0x1f][0x30],18 [0x20][0x30],19 [0x19][0x31],20 [0x1a][0x31],21 [0x2][0x2e],22 [0x1b][0x31],23 [0x1c][0x31],24 [0x3][0x20],25 [0x3][0x21],26 [0x3][0x22],27 [0x1d][0x31],28 [0x3][0x23],29 [0x5][0xe],30 [0x3][0x24],31 [0x5][0x10],32 [0x5][0x12],33 [0x1e][0x31],34 [0x5][0x14],35 [0x5][0x16],36 [0x3][0x25],37 [0x2][0x2f],38 [0x3][0x26],39 [0x3][0x27],40 [0x5][0x18],41 [0x7][0x4],42 [0x3][0x28],43 [0x3][0x29],44 [0x1f][0x31],45 [0x20][0x31],46 [0x3][0x2a],47 [0x19][0x32],48 [0x1a][0x32],49 [0x1b][0x32],50 [0x1c][0x32],51 [0x1d][0x32],52 [0x1e][0x32],53 [0x1f][0x32],54 [0x20][0x32],55 [0x19][0x33],56 [0x3][0x2b],57 [0x1a][0x33],58 [0x1b][0x33]
0,"",false,405,0,0,0,0,0,0,-1,0,0,false,false,false,false,false,false,false,false,false,0,true,true,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
1,"Objet-clef",false,405,8,83,0,85,1875,0,0,0,3,false,false,false,true,true,true,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,false,0,0,0,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,true
2,"Interaction",false,405,8,92,0,0,1875,0,0,0,3,false,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,0,0,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
3,"Sprint",false,405,0,0,0,368,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,18,0,0,0,0,true,0,300,56,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,true
4,"Monture",false,405,5,83,0,165,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,10,0,0,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,true
5,"Téléportation",false,111,10,92,106,164,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,0,0,0,0,0,0,4,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,true,true
6,"Rapatriement",false,112,10,92,107,163,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,9000,57,0,0,0,0,1,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,true,true
7,"Attaque",false,405,1,0,0,-1,1875,0,0,0,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,0,0,-1,7,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
8,"Tir à l'arc",false,405,1,0,0,-2,1876,0,0,0,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,0,0,-1,7,0,0,0,0,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
9,"Lame rapide",false,158,3,0,0,310,1875,0,1,1,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,0,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
