Index,0 [0x3][0x42],1 [0x7][0x1c],2 [0x3][0x43],3 [0x3][0x44],4 [0x7][0x20],5 [0x5][0x38],6 [0x5][0x3a],7 [0x5][0x3c],8 [0x5][0x3e],9 [0x6][0x2c],10 [0x6][0x30],11 [0x6][0x34],12 [0x7][0x24],13 [0x7][0x28],14 [0x3][0x45],15 [0x3][0x46],16 [0x3][0x47],17 [0x19][0x48],18 [0x1a][0x48],19 [0x1b][0x48],20 [0x5][0x40],21 [0x1c][0x48],22 [0x1d][0x48],23 [0x1e][0x48],24 [0x0][0x0],25 [0x0][0x4],26 [0x0][0x8],27 [0x0][0xc],28 [0x0][0x10],29 [0x0][0x14],30 [0x7][0x18]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
120,1,3824577,5,10,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,false,false,0,false,false,false,"Dein Revier endet hier","Die sonst so genügsamen Anolis wollen ihr Revier auf einmal ausdehnen. Mach sie unschädlich, bevor die Tiere des Waldes dran glauben müssen!","","","","",0
121,1,3841494,4,9,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,false,false,0,false,false,false,"Magische Pilze","Durch einen faulen Zauber ist eine todbringende Fungus-Abart entstanden, die vernichtet werden muss! ","","","","",0
122,1,3841592,30,35,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,false,false,0,false,false,false,"In die weite Welt hinein ","Vorwitzige Spriggans wollen neue Gebiete und deren Bodenschätze erobern. Hilf dem Klageregiment, die borstigen Edelsteinsammler zurückzuscheuchen!","","","","",0
123,1,3852456,8,13,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,false,false,0,false,false,false,"Wasseranomalie","Eine Anomalität im Äther hat ein Wasser-Exergon extrem aggressiv gemacht. Neutralisiere es, bevor es Wanderer angreift.","","","","",0
124,1,3841343,11,16,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,false,false,0,false,false,false,"Umschwärmt","Hornissenschwärme bringen die Fischer nahe Lilienstein zur Verzweiflung. Beseitige die Insekten! ","","","","",0
125,1,3854646,34,39,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,false,false,0,false,false,false,"Fliegendes Verderben","Asipatra, allzu naiv für ein Fabelwesen gehalten, existiert wirklich. Beseitige die grausame Kreatur! ","","","","",0
126,1,3872317,9,14,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,false,false,0,false,false,false,"Alphatier","Ein neues Alphatier hat sich die Führung unter den Anolis erkämpft und terrorisiert nun alles in seinem Revier. Bezwinge den Alpha-Anolis!","","","","",0
127,1,3872319,8,13,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,false,false,0,false,false,false,"Zorn der Mütter","Die Jägergilde hat sich unvorsichtigerweise an jungen Schweinchen vergriffen und damit die Muttertiere in Rage gebracht. Bring die Bachen unter Kontrolle!","","","","",0
128,1,3872330,9,14,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,false,false,0,false,false,false,"Alux eingekerkert","Das Klageregiment hat im Geisterkerker den berüchtigten Imp Alux gesichtet. Lass ihn nicht entwischen!","","","","",0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
130,2,3689344,14,19,2000193,0,1,0,0,60723,60503,0,3868020,0,33,34,35,true,false,false,0,false,false,false,"エバーシェイドの収穫祭","長老の木が実りの季節を迎えている<br>熟れた果実を狙うガラゴに注意しつつ<br>「千年果実」を集めろ","ガラゴたちから守り抜いた<br>「千年果実」を、「収穫に来た園芸師」に<br>速やかに納品せよ","納品した千年果実","","",0
