Index,0 [0x3][0x42],1 [0x7][0x1c],2 [0x3][0x43],3 [0x3][0x44],4 [0x7][0x20],5 [0x5][0x38],6 [0x5][0x3a],7 [0x5][0x3c],8 [0x5][0x3e],9 [0x6][0x2c],10 [0x6][0x30],11 [0x6][0x34],12 [0x7][0x24],13 [0x7][0x28],14 [0x3][0x45],15 [0x3][0x46],16 [0x3][0x47],17 [0x19][0x48],18 [0x1a][0x48],19 [0x1b][0x48],20 [0x5][0x40],21 [0x1c][0x48],22 [0x1d][0x48],23 [0x1e][0x48],24 [0x0][0x0],25 [0x0][0x4],26 [0x0][0x8],27 [0x0][0xc],28 [0x0][0x10],29 [0x0][0x14],30 [0x7][0x18]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
120,1,3824577,5,10,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,false,false,0,false,false,false,"森駆けるスプリンター","餓えたアノールの群れが<br>人を襲うため街道沿いに現れた<br>アノールを倒せ","","","","",0
121,1,3841494,4,9,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,false,false,0,false,false,false,"楽しいキノコ狩り","ファンガーの突然変異種が増殖し<br>周辺地域の生態系を乱している<br>エンチャンテッド・ファンガーを倒せ","","","","",0
122,1,3841592,30,35,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,false,false,0,false,false,false,"スプリガンのお引っ越し","スプリガンたちが<br>生息域拡大をもくろみ大移動を開始した<br>鬼哭隊の衛士と協力し、スプリガンを倒せ","","","","",0
123,1,3852456,8,13,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,false,false,0,false,false,false,"淀みの奔流「スタグナントスプライト」","エーテルの淀みが<br>強大なウォータースプライトを生み出した<br>スタグナントスプライトを倒せ","","","","",0
124,1,3841343,11,16,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,false,false,0,false,false,false,"虫刺されにご用心","地元漁師や船頭たちを困らせる<br>睡蓮岩周辺の魔物を駆除せよ<br>ホーネット・スウォームを倒せ","","","","",0
125,1,3854646,34,39,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,false,false,0,false,false,false,"人喰いの怪鳥「アシパトラ」","デスゲイズの中でも特に獰猛な個体<br>通称「アシパトラ」による犠牲者が絶えない<br>怪鳥アシパトラを倒せ","","","","",0
126,1,3872317,9,14,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,false,false,0,false,false,false,"健脚の暴君「アルファ・アノール」","強力なオスが現れたことで<br>アノールの群れが攻撃的になっている<br>群れのボス、アルファ・アノールを倒せ","","","","",0
127,1,3872319,8,13,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,false,false,0,false,false,false,"怒りの猪突猛進","猟師ギルドがホグレットの狩猟を行ったため<br>怒れる親イノシシが現れた<br>チャージング・ホッグを倒せ","","","","",0
128,1,3872330,9,14,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,false,false,0,false,false,false,"強大なる小鬼「アルシュ」","鬼哭隊を悩ませてきた小鬼「アルシュ」が<br>ウォーレン牢獄で確認された<br>この機を逃さず、アルシュを倒せ","","","","",0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,false,false,false,"","","","","","",0
130,2,3689344,14,19,2000193,0,1,0,0,60723,60503,0,3868020,0,33,34,35,true,false,false,0,false,false,false,"エバーシェイドの収穫祭","長老の木が実りの季節を迎えている<br>熟れた果実を狙うガラゴに注意しつつ<br>「千年果実」を集めろ","ガラゴたちから守り抜いた<br>「千年果実」を、「収穫に来た園芸師」に<br>速やかに納品せよ","納品した千年果実","","",0
