Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8],9 [0x3][0x14]
0,"",0,"",0,0,1,0,0,"",0
1,"",0,"",0,0,0,0,0,"",0
2,"",0,"",0,0,0,0,0,"",0
3,"",0,"",0,0,0,0,0,"",0
4,"",0,"",0,0,0,0,0,"",0
5,"",0,"",0,0,0,0,0,"",0
6,"",0,"",0,0,0,0,0,"",0
7,"",0,"",0,0,0,0,0,"",0
8,"",0,"",0,0,0,0,0,"",0
9,"",0,"",0,0,0,0,0,"",0
10,"",0,"",0,0,0,0,0,"",0
11,"",0,"",0,0,0,0,0,"",0
12,"",0,"",0,0,0,0,0,"",0
13,"",0,"",0,0,0,0,0,"",0
14,"",0,"",0,0,0,0,0,"",0
15,"",0,"",0,0,0,0,0,"",0
16,"",0,"",0,0,0,0,0,"",0
17,"",0,"",0,0,0,0,0,"",0
18,"Mandat",0,"Mandat",0,0,1,0,0,"",0
19,"",0,"",0,0,0,0,0,"",0
20,"Hydaelyn",0,"Hydaelyn",0,0,1,0,0,"<switch:Hydaelyn/sur Hydaelyn/d'Hydaelyn>",0
21,"Éorzéa",0,"Éorzéa",0,0,1,0,0,"<switch:Éorzéa/en Éorzéa/d'Éorzéa>",0
22,"Noscea",0,"Noscea",0,0,1,0,0,"<switch:la Noscea/dans la Noscea/de la Noscea>",0
23,"Forêt de Sombrelinceul",0,"Forêt de Sombrelinceul",0,0,1,0,0,"<switch:la forêt de Sombrelinceul/à la forêt de Sombrelinceul/de la forêt de Sombrelinceul>",0
24,"Thanalan",0,"Thanalan",0,0,1,0,0,"<switch:le Thanalan/dans le Thanalan/du Thanalan>",0
25,"Coerthas",0,"Coerthas",0,0,1,0,0,"<switch:le Coerthas/dans le Coerthas/du Coerthas>",0
26,"Mor Dhona",0,"Mor Dhona",0,0,1,0,0,"<switch:le Mor Dhona/dans le Mor Dhona/du Mor Dhona>",0
27,"Limsa Lominsa",0,"Limsa Lominsa",0,0,1,0,0,"<switch:Limsa Lominsa/à Limsa Lominsa/de Limsa Lominsa>",0
28,"Limsa Lominsa - Le Tillac",0,"Limsa Lominsa - Le Tillac",0,0,1,0,0,"<switch:Limsa Lominsa - Le Tillac/à Limsa Lominsa - Le Tillac/de Limsa Lominsa - Le Tillac>",0
29,"Limsa Lominsa - L'Entrepont",0,"Limsa Lominsa - L'Entrepont",0,0,1,0,0,"<switch:Limsa Lominsa - L'Entrepont/à Limsa Lominsa - L'Entrepont/de Limsa Lominsa - L'Entrepont>",0
30,"Noscea centrale",0,"Noscea centrale",0,0,1,0,0,"<switch:la Noscea centrale/dans la Noscea centrale/de la Noscea centrale>",0
31,"Basse-Noscea",0,"Basse-Noscea",0,0,1,0,0,"<switch:la Basse-Noscea/dans la Basse-Noscea/de la Basse-Noscea>",0
32,"Noscea orientale",0,"Noscea orientale",0,0,1,0,0,"<switch:la Noscea orientale/dans la Noscea orientale/de la Noscea orientale>",0
33,"Noscea occidentale",0,"Noscea occidentale",0,0,1,0,0,"<switch:la Noscea occidentale/dans la Noscea occidentale/de la Noscea occidentale>",0
34,"Haute-Noscea",0,"Haute-Noscea",0,0,1,0,0,"<switch:la Haute-Noscea/dans la Haute-Noscea/de la Haute-Noscea>",0
35,"Sastasha",0,"Sastasha",0,0,1,0,0,"<switch:Sastasha/à Sastasha/de Sastasha>",0
36,"Bivouac de Brayflox",0,"Bivouac de Brayflox",0,0,1,0,0,"<switch:le Bivouac de Brayflox/au Bivouac de Brayflox/du Bivouac de Brayflox>",0
37,"Palais du Vagabond",0,"Palais du Vagabond",0,0,1,0,0,"<switch:le Palais du Vagabond/au Palais du Vagabond/du Palais du Vagabond>",0
38,"",0,"",0,0,0,0,0,"",0
39,"Gridania",0,"Gridania",0,0,1,0,0,"<switch:Gridania/à Gridania/de Gridania>",0
40,"Ul'dah - Faubourg de Nald",0,"Ul'dah - Faubourg de Nald",0,0,1,0,0,"<switch:Ul'dah - Faubourg de Nald/à Ul'dah - Faubourg de Nald/d'Ul'dah - Faubourg de Nald>",0
41,"Ul'dah - Faubourg de Thal",0,"Ul'dah - Faubourg de Thal",0,0,1,0,0,"<switch:Ul'dah - Faubourg de Thal/à Ul'dah - Faubourg de Thal/d'Ul'dah - Faubourg de Thal>",0
42,"Thanalan occidental",0,"Thanalan occidental",0,0,1,0,0,"<switch:le Thanalan occidental/dans le Thanalan occidental/du Thanalan occidental>",0
